id,method,comparison_type,venue,priority,access,auxiliary,cost,adaptation,control,code_status,code_commit,replay_status,source_url,local_pdf,review_file
X05,NDSS fine-tuned diffusion black-box MIA,attack,NDSS 2025,required for black-box fine-tuning claim,image output / generation interface,"scenario-dependent captions, shadow training, captioner fine-tuning","captioning, generation, similarity and shadow computation",,match one of the four threat scenarios; no free known-member labels,not_acquired,,not_reproduced,https://www.ndss-symposium.org/wp-content/uploads/2025-324-paper.pdf,pdfs/X05.pdf,reviews/X05.md
X11,PFAMI-Met / PFAMI-NNs,attack,공개 preprint · 게재 venue 미확인,LoRA main comparison,intermediate denoising gray-box,Met statistic; NNs uses shadow training,20 / 110 queries in Table IV setting,,within-query perturbations; same crop and pathology-preservation assumptions,source_downloaded_not_executed,f80df339e11ff49db211a455c0a455d630cf34a7,not_reproduced,https://arxiv.org/pdf/2308.12143,pdfs/X11.pdf,reviews/X11.md
X12,MoFit,attack,ICLR 2026,caption-free white-box main comparison,input/embedding gradients through denoiser,VLM initialization and labeled calibration subset,paper 7-9 min/image on RTX4090; early stopping also exists,,LoRA result near chance; SD table selects known memorized members; independent calibration,source_downloaded_not_executed,91e4b5edc153bac84b0b4209f70d1b2b94e653b2,not_reproduced,https://arxiv.org/pdf/2602.22689,pdfs/X12.pdf,reviews/X12.md
B08,DP-LoRA,training,ICCV 2025,shared backbone core,,,,record original and patient-ULS variant,same backbone/public data; QKV/projection; rank8 versus rank16; multiplicity,source_downloaded_not_executed,5c48a64c6c12b5c98e5d1eaf28fbede1a3f19bd2,not_reproduced,https://openaccess.thecvf.com/content/ICCV2025/html/Tsai_Differentially_Private_Fine-Tuning_of_Diffusion_Models_ICCV_2025_paper.html,pdfs/B08.pdf,reviews/B08.md
B09,DPDM,training,TMLR 2023 / arXiv 공개본,from-scratch claim,,,,patient-average multiplicity loss then patient clipping,"full trainable capacity, batch/compute and public pretraining",not_acquired,,not_reproduced,https://arxiv.org/abs/2210.09929,pdfs/B09.pdf,reviews/B09.md
B10,DP-LDM,training,TMLR 2024 / arXiv 공개본,shared backbone core,,,,attention-only record and patient variants,LoRA already in ablations; same trainable modules and public AE,not_acquired,,not_reproduced,https://openreview.net/pdf?id=AkdQ266kHj,pdfs/B10.pdf,reviews/B10.md
B11,PrivImage,training,USENIX Security 2024,public-data selection claim,,,,bound patient histogram contribution and compose costs,selection budget plus private tuning; public domain match,not_acquired,,not_reproduced,https://www.usenix.org/conference/usenixsecurity24/presentation/li-kecen,pdfs/B11.pdf,reviews/B11.md
B12,dp-promise,training,USENIX Security 2024,conditional on proof/code reconciliation,,,,not yet eligible for same-epsilon patient guarantee,Phase I input-noise target joint dependence; asymptotic accounting,not_acquired,,not_reproduced,https://www.usenix.org/conference/usenixsecurity24/presentation/wang-haichen,pdfs/B12.pdf,reviews/B12.md
B13,RAPID,training,ICLR 2025,retrieval/compute or broad DP generation claim,,,,patient bound on private endpoint training; public retrieval fixed,public KB and retrieval encoder provenance; substitution adjacency; HPO cost,source_downloaded_not_executed,7ff6c268f88a04a2852b49488d2875bfc2a19311,not_reproduced,https://proceedings.iclr.cc/paper_files/paper/2025/hash/5a04615295b7512ad3ce691400e26bc7-Abstract-Conference.html,pdfs/B13.pdf,reviews/B13.md
B14,DP 3D medical LDM,training,DGM4MICCAI 2024 / arXiv 공개본,3D medical generation claim,,,,verify volume versus all-patient adjacency,"public AE/PT, pathology control, different anatomy/resolution",not_acquired,,not_reproduced,https://arxiv.org/abs/2407.16405,pdfs/B14.pdf,reviews/B14.md
B15,DP diffusion useful images,training,arXiv 2023 공개본,utility/timestep/multiplicity claim,,,,same patient clipping and accountant,"public pretraining, nonuniform timestep, noise/augmentation multiplicity",not_acquired,,not_reproduced,https://arxiv.org/html/2302.13861,pdfs/B15.pdf,reviews/B15.md
B16,SPTI,training,NeurIPS 2025,high-resolution or no-finetuning claim,,,,patient-bounded private votes,"text bottleneck, captioner access, frozen generator and all query costs",not_acquired,,not_reproduced,https://proceedings.neurips.cc/paper_files/paper/2025/hash/38380a17248c4dfc4f48fc4d836d9b62-Abstract-Conference.html,pdfs/B16.pdf,reviews/B16.md
B17,RPGen,training,AAAI 2026,robust public pretraining claim,,,,patient vote selection plus patient DP fine-tuning,AMP ablation and domain matching; source access only partial,not_acquired,,not_reproduced,https://ojs.aaai.org/index.php/AAAI/article/view/38016,,reviews/B17.md
X08,DP-FETA,training,IEEE S&P 2025,no-public-data or private-prototype claim,,,,patient central query and training contribution bounds,central-query privacy plus fine-tuning; augmentations,source_downloaded_not_executed,f95d3a7772ff76a1ff841b85977d1e2d44f470e1,not_reproduced,https://arxiv.org/pdf/2504.01395,pdfs/X08.pdf,reviews/X08.md
X09,FETA-Pro,training,USENIX Security 2026,private-prototype/curriculum or broad DP generation claim,,,,patient bounds for spatial/frequency/training releases,"three privacy costs, same public resources and high memory budget",source_downloaded_not_executed,574dd0feaae07147a51e825b6665ed49e181a8eb,not_reproduced,https://www.usenix.org/sites/default/files/conference-files/sec26cycle1-final514.pdf,pdfs/X09.pdf,reviews/X09.md
X10,DP-SAD,training,ECCV 2024,conditional on proof/code reconciliation,,,,not yet eligible for same-epsilon patient guarantee,T noise scaling and actual gradient sensitivity; teacher/discriminator provenance,not_acquired,,not_reproduced,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/01066.pdf,pdfs/X10.pdf,reviews/X10.md
B01,Kaiser / Medical user-level DP,unit,TPDP 2025,privacy-unit algorithm prior,,,,,,not_acquired,,not_reproduced,https://tpdp.journalprivacyconfidentiality.org/2025/pdf/kaiser.pdf,pdfs/B01.pdf,reviews/B01.md
B02,P3SGD,unit,CVPR 2019,privacy-unit algorithm prior,,,,,,not_acquired,,not_reproduced,https://openaccess.thecvf.com/content_CVPR_2019/html/Wu_P3SGD_Patient_Privacy_Preserving_SGD_for_Regularizing_Deep_CNNs_in_CVPR_2019_paper.html,pdfs/B02.pdf,reviews/B02.md
B03,DP-FedEmb,unit,CVPR 2023,privacy-unit algorithm prior,,,,,,not_acquired,,not_reproduced,https://openaccess.thecvf.com/content/CVPR2023/papers/Xu_Learning_To_Generate_Image_Embeddings_With_User-Level_Differential_Privacy_CVPR_2023_paper.pdf,pdfs/B03.pdf,reviews/B03.md
B04,Charles / Fixed-compute ELS vs ULS,unit,arXiv 2024 공개본; fixed-compute 제목은 저자 2025 설명 참조,privacy-unit algorithm prior,,,,,,not_acquired,,not_reproduced,https://arxiv.org/abs/2407.07737,pdfs/B04.pdf,reviews/B04.md
B05,Mind the Privacy Unit!,unit,COLM 2024 / arXiv 공개본,privacy-unit algorithm prior,,,,,,not_acquired,,not_reproduced,https://arxiv.org/abs/2406.14322,pdfs/B05.pdf,reviews/B05.md
B06,Ganesh / Tight group privacy,unit,arXiv 2024 공개본,privacy-unit algorithm prior,,,,,,not_acquired,,not_reproduced,https://arxiv.org/abs/2401.10294,pdfs/B06.pdf,reviews/B06.md
B07,HiGradAvgDP,unit,arXiv 2022 공개본,privacy-unit algorithm prior,,,,,,not_acquired,,not_reproduced,https://arxiv.org/abs/2206.03617,pdfs/B07.pdf,reviews/B07.md
