id,priority,latest18,cvpr_relation,group_label,alias,title,venue,role,source_url,pdf_url,link_status,historical_locations,metadata_note
A21,,True,기반·확장 관련 문헌,환자 위험·의료 생성 감사·공격·재식별,Patient-level diffusion unlearning,Patient-level Machine Unlearning in Latent Diffusion Models: On the Limits of the Privacy-Utility Trade-off,MIDL 2026 Short Paper Track,환자 단위 unlearning과 privacy·utility의 한계. 환자 영향 제거 자체의 선행.,https://openreview.net/pdf?id=x83b7ybcB1,https://openreview.net/pdf?id=x83b7ybcB1,브라우저 확인 필요,16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:45; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:365,제목·short-paper 표기는 공개 PDF의 검색 인덱스로 확인; 직접 HTTP 요청은 403.
A22,,True,기반·확장 관련 문헌,환자 위험·의료 생성 감사·공격·재식별,PrivDiff-Net,"Hide Identity, Preserve Pathology: Diffusion-Based Anonymization for Chest X-rays",PMLR 317 / 2026,identity 억제와 pathology 보존. 생체신호 제거 방법의 직접 선행.,https://proceedings.mlr.press/v317/akhter26a.html,https://raw.githubusercontent.com/mlresearch/v317/main/assets/akhter26a/akhter26a.pdf,PDF 응답 확인,16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:42; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:366,
A23,,True,기반·확장 관련 문헌,환자 위험·의료 생성 감사·공격·재식별,Semantic versus Identity,Semantic versus Identity: A Divide-and-Conquer Approach towards Adjustable Medical Image De-Identification,ICCV 2025,의료 identity·semantic 분해 및 조절 가능한 비식별화.,https://openaccess.thecvf.com/content/ICCV2025/html/Tian_Semantic_versus_Identity_A_Divide-and-Conquer_Approach_towards_Adjustable_Medical_Image_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Tian_Semantic_versus_Identity_A_Divide-and-Conquer_Approach_towards_Adjustable_Medical_Image_ICCV_2025_paper.pdf,PDF 응답 확인,16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:43; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:342,
A24,,False,,환자 위험·의료 생성 감사·공격·재식별,Anonymous CXR synthesis,Generation of Anonymous Chest Radiographs Using Latent Diffusion Models for Training Thoracic Abnormality Classification Systems,arXiv 2022 공개본,익명 CXR 합성과 재식별 억제. 비-DP 방어와 formal DP의 차이.,https://arxiv.org/abs/2211.01323,https://arxiv.org/pdf/2211.01323,PDF 응답 확인,16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:46,
A25,,True,기반·확장 관련 문헌,환자 위험·의료 생성 감사·공격·재식별,MemControl,MemControl: Mitigating Memorization in Diffusion Models via Automated Parameter Selection,WACV 2025,학습 파라미터 선택을 통한 암기 완화. 단순 선택적 fine-tuning의 선행 경계.,https://openaccess.thecvf.com/content/WACV2025/html/Dutt_MemControl_Mitigating_Memorization_in_Diffusion_Models_via_Automated_Parameter_Selection_WACV_2025_paper.html,https://openaccess.thecvf.com/content/WACV2025/papers/Dutt_MemControl_Mitigating_Memorization_in_Diffusion_Models_via_Automated_Parameter_Selection_WACV_2025_paper.pdf,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:344,
A26,,True,기반·확장 관련 문헌,환자 위험·의료 생성 감사·공격·재식별,Privacy-utility memorization mitigation,Enhancing Privacy-Utility Trade-offs to Mitigate Memorization in Diffusion Models,CVPR 2025,diffusion 암기 완화와 privacy·utility trade-off의 인접 방법.,https://openaccess.thecvf.com/content/CVPR2025/html/Chen_Enhancing_Privacy-Utility_Trade-offs_to_Mitigate_Memorization_in_Diffusion_Models_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Chen_Enhancing_Privacy-Utility_Trade-offs_to_Mitigate_Memorization_in_Diffusion_Models_CVPR_2025_paper.pdf,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:345,
B01,2,True,핵심 주장·방법 대조,환자·사용자 DP와 DP diffusion 학습,Kaiser / Medical user-level DP,User-Level Differential Privacy in Medical Machine Learning,TPDP 2025,가변 records/patient의 sampling·clipping 조절. G8/P8 비교에 추가할 가장 직접적인 기준선.,https://tpdp.journalprivacyconfidentiality.org/2025/pdf/kaiser.pdf,https://tpdp.journalprivacyconfidentiality.org/2025/pdf/kaiser.pdf,PDF 응답 확인,16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:72; 17_탈옥트렌드_팩트검증과_현1순위_신규성경계_2026-09-08.md:117; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:355,
B02,14,True,기반·확장 관련 문헌,환자·사용자 DP와 DP diffusion 학습,P3SGD,P3SGD: Patient Privacy Preserving SGD for Regularizing Deep CNNs in Pathological Image Classification,CVPR 2019,환자 단위 SGD·privacy의 선행. patient clipping 자체를 새 기여로 셀 수 없음.,https://openaccess.thecvf.com/content_CVPR_2019/html/Wu_P3SGD_Patient_Privacy_Preserving_SGD_for_Regularizing_Deep_CNNs_in_CVPR_2019_paper.html,https://openaccess.thecvf.com/content_CVPR_2019/papers/Wu_P3SGD_Patient_Privacy_Preserving_SGD_for_Regularizing_Deep_CNNs_in_CVPR_2019_paper.pdf,PDF 응답 확인,01_독립_논문_방향_추천_순위와_근거_2026-09-02.md:54; 03_근접연구_재검증과_1순위_최종판단_2026-09-02.md:159; 04_관련근접연구_claim_matrix_2026-09-02.md:208; 06_ISIC_실제_gradient_진단과_현재_방법판정_2026-09-02.md:212; 10_CVPR_reset_관련근접연구_새방향_2026-09-03.md:68; 14_SetAdapter_context_반증과_주제재판정_2026-09-03.md:235; 16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:70; 17_탈옥트렌드_팩트검증과_현1순위_신규성경계_2026-09-08.md:115; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:338,
B03,,True,기반·확장 관련 문헌,환자·사용자 DP와 DP diffusion 학습,DP-FedEmb,Learning To Generate Image Embeddings With User-Level Differential Privacy,CVPR 2023,여러 이미지를 가진 사용자 단위 DP vision embedding 학습.,https://openaccess.thecvf.com/content/CVPR2023/papers/Xu_Learning_To_Generate_Image_Embeddings_With_User-Level_Differential_Privacy_CVPR_2023_paper.pdf,https://openaccess.thecvf.com/content/CVPR2023/papers/Xu_Learning_To_Generate_Image_Embeddings_With_User-Level_Differential_Privacy_CVPR_2023_paper.pdf,PDF 응답 확인,04_관련근접연구_claim_matrix_2026-09-02.md:212; 16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:71; 17_탈옥트렌드_팩트검증과_현1순위_신규성경계_2026-09-08.md:116; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:339,
B04,,True,기반·확장 관련 문헌,환자·사용자 DP와 DP diffusion 학습,Charles / Fixed-compute ELS vs ULS,Fine-Tuning Large Language Models with User-Level Differential Privacy,arXiv 2024 공개본; fixed-compute 제목은 저자 2025 설명 참조,같은 계산예산에서 example/user sampling 비교와 tight accounting.,https://arxiv.org/abs/2407.07737,https://arxiv.org/pdf/2407.07737,PDF 응답 확인,04_관련근접연구_claim_matrix_2026-09-02.md:216; 06_ISIC_실제_gradient_진단과_현재_방법판정_2026-09-02.md:210; 10_CVPR_reset_관련근접연구_새방향_2026-09-03.md:68; 16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:73; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:356,기존 기록의 Learning with User-Level Differential Privacy Under Fixed Compute Budgets와 연결된 arXiv 제목은 Fine-Tuning Large Language Models with User-Level Differential Privacy. 제목을 임의로 일치시키지 않음.
B05,,False,,환자·사용자 DP와 DP diffusion 학습,Mind the Privacy Unit!,Mind the Privacy Unit! User-Level Differential Privacy for Language Model Fine-Tuning,COLM 2024 / arXiv 공개본,사용자 단위와 example 단위 보호의 차이. 의료만의 새 문제라는 주장 제한.,https://arxiv.org/abs/2406.14322,https://arxiv.org/pdf/2406.14322,PDF 응답 확인,01_독립_논문_방향_추천_순위와_근거_2026-09-02.md:59; 03_근접연구_재검증과_1순위_최종판단_2026-09-02.md:168; 04_관련근접연구_claim_matrix_2026-09-02.md:214,
B06,,False,,환자·사용자 DP와 DP diffusion 학습,Ganesh / Tight group privacy,Tight Group-Level DP Guarantees for DP-SGD with Sampling via Mixture of Gaussians Mechanisms,arXiv 2024 공개본,DP-SGD의 구조를 이용한 tight group accounting. generic group bound의 대조.,https://arxiv.org/abs/2401.10294,https://arxiv.org/pdf/2401.10294,PDF 응답 확인,01_독립_논문_방향_추천_순위와_근거_2026-09-02.md:60; 03_근접연구_재검증과_1순위_최종판단_2026-09-02.md:167; 04_관련근접연구_claim_matrix_2026-09-02.md:218,
B07,,False,,환자·사용자 DP와 DP diffusion 학습,HiGradAvgDP,Subject Granular Differential Privacy in Federated Learning,arXiv 2022 공개본,subject granular DP와 계층적 gradient 집계의 선행.,https://arxiv.org/abs/2206.03617,https://arxiv.org/pdf/2206.03617,PDF 응답 확인,04_관련근접연구_claim_matrix_2026-09-02.md:210,
B08,11,True,직접 방법·평가 비교군,환자·사용자 DP와 DP diffusion 학습,DP-LoRA,Differentially Private Fine-Tuning of Diffusion Models,ICCV 2025,현재 LoRA DP diffusion 학습의 직접 기준선. rank·학습 모듈·multiplicity 조건 대조.,https://openaccess.thecvf.com/content/ICCV2025/html/Tsai_Differentially_Private_Fine-Tuning_of_Diffusion_Models_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Tsai_Differentially_Private_Fine-Tuning_of_Diffusion_Models_ICCV_2025_paper.pdf,PDF 응답 확인,01_독립_논문_방향_추천_순위와_근거_2026-09-02.md:152; 03_근접연구_재검증과_1순위_최종판단_2026-09-02.md:160; 04_관련근접연구_claim_matrix_2026-09-02.md:222; 10_CVPR_reset_관련근접연구_새방향_2026-09-03.md:66; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:340,
B09,,True,기반·확장 관련 문헌,환자·사용자 DP와 DP diffusion 학습,DPDM,Differentially Private Diffusion Models,TMLR 2023 / arXiv 공개본,DP diffusion과 noise multiplicity의 기초. 단순 DP diffusion은 이미 존재.,https://arxiv.org/abs/2210.09929,https://arxiv.org/pdf/2210.09929,PDF 응답 확인,01_독립_논문_방향_추천_순위와_근거_2026-09-02.md:49; 03_근접연구_재검증과_1순위_최종판단_2026-09-02.md:161; 04_관련근접연구_claim_matrix_2026-09-02.md:220; 04_관련근접연구_claim_matrix_2026-09-02.md:304; 06_ISIC_실제_gradient_진단과_현재_방법판정_2026-09-02.md:200; 10_CVPR_reset_관련근접연구_새방향_2026-09-03.md:66; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:349,
B10,,True,기반·확장 관련 문헌,환자·사용자 DP와 DP diffusion 학습,DP-LDM,Differentially Private Latent Diffusion Models,TMLR 2024 / arXiv 공개본,latent diffusion의 선택적 DP fine-tuning. DP-LoRA 이전 직접 선행.,https://openreview.net/pdf?id=AkdQ266kHj,https://arxiv.org/pdf/2305.15759,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:350,
B11,,True,기반·확장 관련 문헌,환자·사용자 DP와 DP diffusion 학습,PrivImage,PrivImage: Differentially Private Synthetic Image Generation using Diffusion Models with Semantic-Aware Pretraining,USENIX Security 2024,semantic-aware public pretraining을 이용한 DP image synthesis.,https://www.usenix.org/conference/usenixsecurity24/presentation/li-kecen,https://www.usenix.org/system/files/usenixsecurity24-li-kecen.pdf,PDF 응답 확인,04_관련근접연구_claim_matrix_2026-09-02.md:224; 10_CVPR_reset_관련근접연구_새방향_2026-09-03.md:66; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:351,
B12,,True,기반·확장 관련 문헌,환자·사용자 DP와 DP diffusion 학습,dp-promise,dp-promise: Differentially Private Diffusion Probabilistic Models for Image Synthesis,USENIX Security 2024,DP diffusion image synthesis의 강한 기존 방법.,https://www.usenix.org/conference/usenixsecurity24/presentation/wang-haichen,https://www.usenix.org/system/files/usenixsecurity24-wang-haichen.pdf,PDF 응답 확인,04_관련근접연구_claim_matrix_2026-09-02.md:226; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:352,
B13,,True,기반·확장 관련 문헌,환자·사용자 DP와 DP diffusion 학습,RAPID,RAPID: Retrieval Augmented Training of Differentially Private Diffusion Models,ICLR 2025,retrieval을 활용한 DP diffusion 학습. public-data 활용 조건을 맞춰 비교.,https://proceedings.iclr.cc/paper_files/paper/2025/hash/5a04615295b7512ad3ce691400e26bc7-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/5a04615295b7512ad3ce691400e26bc7-Paper-Conference.pdf,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:353,
B14,,True,직접 방법·평가 비교군,환자·사용자 DP와 DP diffusion 학습,Daum / Private 3D medical LDM,On Differentially Private 3D Medical Image Synthesis with Controllable Latent Diffusion Models,DGM4MICCAI 2024 / arXiv 공개본,의료 DP latent diffusion은 이미 존재. 반복 2D 환자 기록과의 문제 차이.,https://arxiv.org/abs/2407.16405,https://arxiv.org/pdf/2407.16405,PDF 응답 확인,03_근접연구_재검증과_1순위_최종판단_2026-09-02.md:158; 04_관련근접연구_claim_matrix_2026-09-02.md:232; 10_CVPR_reset_관련근접연구_새방향_2026-09-03.md:67; 16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:74; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:354,
B15,,False,,환자·사용자 DP와 DP diffusion 학습,DP diffusion useful synthetic images,Differentially Private Diffusion Models Generate Useful Synthetic Images,arXiv 2023 공개본,public pretraining과 DP synthetic image utility의 선행.,https://arxiv.org/html/2302.13861,https://arxiv.org/pdf/2302.13861,PDF 응답 확인,04_관련근접연구_claim_matrix_2026-09-02.md:306; 06_ISIC_실제_gradient_진단과_현재_방법판정_2026-09-02.md:202,
B16,,False,,환자·사용자 DP와 DP diffusion 학습,SPTI,Synthesize Privacy-Preserving High-Resolution Images via Private Textual Intermediaries,NeurIPS 2025,private textual intermediary를 이용한 고해상도 DP 합성.,https://proceedings.neurips.cc/paper_files/paper/2025/hash/38380a17248c4dfc4f48fc4d836d9b62-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/38380a17248c4dfc4f48fc4d836d9b62-Paper-Conference.pdf,PDF 응답 확인,04_관련근접연구_claim_matrix_2026-09-02.md:228,
B17,,False,,환자·사용자 DP와 DP diffusion 학습,RPGen,RPGen: Robust and Differentially Private Synthetic Image Generation,AAAI 2026,강건한 DP synthetic image generation의 인접 비교.,https://ojs.aaai.org/index.php/AAAI/article/view/38016,https://ojs.aaai.org/index.php/AAAI/article/download/38016/41978,PDF 응답 확인,04_관련근접연구_claim_matrix_2026-09-02.md:230,
B18,,False,,환자·사용자 DP와 DP diffusion 학습,How to DP-fy Your Data,How to DP-fy Your Data: A Practical Guide to Generating Synthetic Data With Differential Privacy,JAIR 2026 / arXiv 공개본,DP 합성데이터의 실무적 단위·평가·비교 지침.,https://arxiv.org/abs/2512.03238,https://arxiv.org/pdf/2512.03238,PDF 응답 확인,03_근접연구_재검증과_1순위_최종판단_2026-09-02.md:163; 04_관련근접연구_claim_matrix_2026-09-02.md:240,
C01,13,True,기반·확장 관련 문헌,출발점인 federated diffusion과 인접 확장,PFDM,Personalized Federated Training of Diffusion Models with Privacy Guarantees,CVPR 2026,처음 출발한 personalized federated diffusion. hospital/client와 내부 patient 단위를 구분.,https://openaccess.thecvf.com/content/CVPR2026/html/Patel_Personalized_Federated_Training_of_Diffusion_Models_with_Privacy_Guarantees_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Patel_Personalized_Federated_Training_of_Diffusion_Models_with_Privacy_Guarantees_CVPR_2026_paper.pdf,PDF 응답 확인,01_독립_논문_방향_추천_순위와_근거_2026-09-02.md:104; 03_근접연구_재검증과_1순위_최종판단_2026-09-02.md:157; 04_관련근접연구_claim_matrix_2026-09-02.md:206; 06_ISIC_실제_gradient_진단과_현재_방법판정_2026-09-02.md:192; 10_CVPR_reset_관련근접연구_새방향_2026-09-03.md:40; 14_SetAdapter_context_반증과_주제재판정_2026-09-03.md:223; 16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:99; 17_탈옥트렌드_팩트검증과_현1순위_신규성경계_2026-09-08.md:109; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:337,
